"Sample","Region","Years","ACE2","ADAM17","ANPEP","AXL","CD209","CEACAM1","CLEC4G","CLEC4M","CTSL1","DPP4","ENPEP","FURIN","ITGA2B","ITGA3","ITGA5","ITGA8","ITGAL","ITGAM","ITGAV","ITGB1","ITGB2","ITGB3","ITGB6","ITGB8","NRP1","NRP2","SCARB1","TMPRSS2"
"HSB173_V1C_L","V1C",3.76923076923077,"4.27141","6.41762","5.25556","7.88414","5.13453","4.64381","6.16837","3.68941","7.15019","4.33661","4.4839","6.99614","4.74929","6.7018","5.81359","4.77005","4.79024","4.55151","9.8018","8.44234","6.36934","3.86624","4.31836","9.30073","6.91289","6.13312","7.22177","4.57965"
"HSB173_VFC_L","VFC",3.76923076923077,"3.90032","6.82178","4.99327","7.80204","4.80622","4.49171","5.55443","3.67427","7.84843","4.12632","4.42871","6.79335","4.50778","6.22709","5.92704","4.52993","4.86165","4.94677","9.78551","7.97707","6.3891","3.83083","4.15731","10.0701","7.01587","5.86868","6.57093","3.9473"
"HSB174_A1C_L","A1C",8.76923076923077,"3.85414","6.10415","5.33814","7.0361","4.49525","4.43623","5.7348","3.9675","7.03602","4.07123","4.1325","7.37751","4.50754","6.62197","5.59703","5.26759","4.56154","4.92939","9.37997","8.19053","6.46384","3.98294","4.05684","9.78273","7.39545","5.62568","6.49153","4.13024"
"HSB174_AMY_L","AMY",8.76923076923077,"3.85371","6.59323","4.8399","7.13423","4.16238","4.1915","5.44701","3.57473","7.77124","4.01365","3.85315","7.13177","4.27833","6.68159","5.34806","4.69893","4.67261","5.51977","9.82431","8.20061","6.52033","4.39382","3.86995","10.8278","7.42133","7.43673","6.56687","4.04415"
"HSB175_DFC_L","DFC",11.7692307692308,"4.47206","5.89442","5.13718","7.07192","4.18844","4.8143","5.83953","4.31436","6.86328","4.68298","4.68357","6.82849","4.79377","6.99861","5.59919","4.87227","4.76071","4.59663","8.71162","7.80631","5.33893","3.79745","4.27447","8.93389","6.9732","5.96807","6.59847","4.47656"
"HSB174_DFC_L","DFC",8.76923076923077,"3.70511","6.36633","4.59194","7.17542","4.19759","3.84957","5.44927","3.87028","8.41123","4.72787","4.13677","7.09269","4.20561","6.7219","5.36905","5.10679","4.42334","5.308","9.44726","8.23744","6.24171","3.91202","3.86667","10.3352","7.47597","5.62372","6.97006","4.34909"
"HSB174_HIP_L","HIP",8.76923076923077,"3.78784","6.55688","4.63417","7.00216","4.27394","4.17289","6.61097","3.3821","7.41558","3.74643","4.03681","7.46871","4.29382","6.63974","5.67182","7.3403","4.63034","5.51048","9.8233","8.68912","7.09726","3.98546","3.69942","10.7016","9.98879","7.87949","6.94843","3.91202"
"HSB174_IPC_L","IPC",8.76923076923077,"3.70071","6.8756","5.02762","6.74701","4.21849","4.4412","5.2159","4.15513","8.17714","4.57528","4.03826","7.04042","4.59527","6.53113","5.50872","4.99501","4.59261","5.27868","10.0171","9.03106","7.00166","3.87993","3.90393","10.6245","7.35411","5.49662","6.57324","4.33904"
"HSB174_ITC_L","ITC",8.76923076923077,"3.9181","6.54821","5.39837","7.22035","4.22173","4.07782","5.47068","3.68058","7.77257","4.6071","4.66709","6.97426","4.66458","6.71626","5.71359","5.03682","4.67874","5.53954","9.63997","8.56051","6.61822","4.15553","3.98488","9.91314","7.19936","5.58519","6.47161","4.41826"
"HSB174_MFC_L","MFC",8.76923076923077,"3.72403","6.32977","4.49622","7.47522","4.11535","3.6842","5.69613","3.48987","8.44878","4.72896","4.16581","7.19538","4.30326","6.75881","5.36588","5.18413","4.37906","5.12058","9.52567","8.17699","6.45479","3.94229","3.89628","10.0369","7.64205","6.09669","6.81227","4.29774"
"HSB174_OFC_L","OFC",8.76923076923077,"3.83438","6.56682","4.84229","7.17103","4.36307","4.3611","5.26936","3.55793","7.9472","4.57129","4.04773","6.85073","4.52358","6.54008","5.40313","4.65656","4.66481","5.22097","9.81456","8.36993","6.56515","3.87885","3.80714","10.2218","7.35611","5.40069","6.689","4.24049"
"HSB174_STC_L","STC",8.76923076923077,"3.68924","6.67045","5.12326","6.88168","4.42757","4.03345","5.689","3.54408","8.00703","4.52632","4.08241","7.16333","4.56482","6.56726","5.52745","4.84953","4.7424","5.28544","9.60643","8.88455","6.8717","3.9981","3.96385","10.0656","7.41695","5.68102","6.87863","3.98622"
"HSB174_V1C_L","V1C",8.76923076923077,"3.94633","6.25426","5.15708","6.49522","4.51577","3.89423","5.49299","3.90894","7.67944","5.11193","4.18745","7.24985","4.50178","6.84946","5.73764","4.73032","4.55974","4.75136","9.35398","8.71542","5.9887","4.35254","3.92913","9.57979","7.5114","5.84398","6.63751","4.10942"
"HSB174_VFC_L","VFC",8.76923076923077,"3.60405","6.16264","4.70232","6.96045","4.2874","3.83646","5.71234","3.83858","7.63862","4.86054","4.20823","7.52091","4.35987","6.69441","5.29217","4.8489","4.41391","5.02907","9.38512","8.13049","6.4291","4.05951","3.72153","10.1417","7.44563","5.343","6.86637","4.33273"
"HSB175_A1C_L","A1C",11.7692307692308,"3.86345","6.05703","5.83284","6.4926","4.60724","4.19291","5.93513","3.93374","7.46587","4.23612","3.72398","7.4468","4.54637","7.07171","5.06226","5.18269","4.59726","4.92684","8.50679","7.65146","6.00236","3.86347","3.76924","9.04909","6.60741","6.21552","6.50659","4.2907"
"HSB175_AMY_L","AMY",11.7692307692308,"4.10998","6.60611","5.22312","7.23998","4.09259","4.10488","6.04948","3.51401","6.43244","3.83241","3.86037","7.54571","4.59902","6.88204","5.16312","4.46183","4.45457","4.64241","9.29362","7.76581","5.63404","3.73811","4.5091","9.87355","8.10852","7.79628","6.72957","4.09037"
"HSB175_CBC_L","CBC",11.7692307692308,"4.01685","6.40903","5.32416","6.55464","4.41951","4.42405","5.53288","3.79249","5.59095","3.55004","3.72418","7.4824","4.91168","7.19017","5.39619","4.21259","4.29707","4.45387","9.90614","7.32259","5.11572","3.7541","3.91421","7.50068","4.94565","4.55863","5.81077","4.17462"
"HSB174_CBC_L","CBC",8.76923076923077,"3.87105","6.27358","4.69278","7.20944","4.3239","4.30251","4.97547","3.67781","6.19955","3.79533","3.79512","7.79925","4.59748","7.14427","5.68704","4.59244","4.38434","4.74878","10.249","8.02623","5.80963","3.81118","3.60957","8.35709","5.55072","4.76845","6.16869","4.12961"
"HSB175_HIP_L","HIP",11.7692307692308,"3.80799","6.33444","4.9976","7.33983","4.1317","4.5049","6.84949","4.0614","7.13497","4.16508","4.05189","7.16063","4.62746","6.53085","5.04603","5.40404","4.30047","4.69589","9.87124","7.86181","5.91744","3.78837","3.98368","9.96327","8.69036","7.47237","6.47604","4.32213"
"HSB175_IPC_L","IPC",11.7692307692308,"3.85539","6.14792","5.13678","6.30451","4.4271","4.26204","6.04936","3.75845","7.71629","3.98832","4.05665","7.3725","4.13059","6.80954","5.41118","4.64501","4.39185","4.90504","8.95876","8.08641","5.74452","3.84575","4.11608","9.16543","6.92223","6.03406","7.32699","4.00761"
"HSB175_ITC_L","ITC",11.7692307692308,"3.75971","6.41924","5.17326","7.03041","4.01111","4.15278","6.50194","3.69912","6.35339","4.17983","3.9984","7.41523","4.28059","6.56637","5.15269","4.67498","4.55624","4.97513","9.29789","7.50009","6.1871","4.03853","3.85221","9.50938","6.81345","6.14709","6.49791","4.12633"
"HSB175_M1C_L","M1C",11.7692307692308,"3.9151","6.6584","5.26896","6.52341","4.5085","4.2997","5.94886","3.49343","7.75415","4.60511","4.20381","7.32968","4.4766","6.7363","5.13193","5.14638","4.42255","4.76562","9.12259","8.7549","5.71734","3.99241","3.8203","9.6943","7.50792","5.49507","6.74458","4.10297"
"HSB175_MFC_L","MFC",11.7692307692308,"3.81695","6.34301","5.18465","7.4021","4.28503","3.98336","5.9686","3.74039","7.00062","4.34442","4.12199","7.40632","4.42128","6.9434","5.45284","4.98403","4.42941","4.39183","8.89593","7.77984","5.83273","3.84822","3.74977","9.48969","7.33295","5.55061","6.63604","4.44223"
"HSB175_OFC_L","OFC",11.7692307692308,"3.73183","6.57231","5.3295","6.8042","4.27763","4.22771","5.52541","3.61842","7.63367","4.27766","3.91124","7.30382","4.32612","6.38619","5.23497","5.0077","4.30644","4.74596","9.44859","8.60187","5.82984","4.02775","3.99485","9.60012","6.85364","5.9871","6.71024","3.85712"
